name,photo,review_count,description,rating,latitude,longitude,transactions,price,address,city,zip,country,state,phone,yelp_id
Bottega Louie,https://s3-media1.fl.yelpcdn.com/bphoto/rAImnKvUNcNY8i6qEDWrZA/o.jpg,18264,Italian,4,34.047056,-118.256544,"[""delivery""]",$$,700 S Grand Ave,Los Angeles,90017,US,CA,+12138021470,TkFEKhsCixPWlShULKvMdQ
Bestia,https://s3-media2.fl.yelpcdn.com/bphoto/qourX-TmOyNBEQZxDqAwUA/o.jpg,7376,Italian,4.5,34.03402,-118.22919,"[""delivery""]",$$$,2121 E 7th Pl,Los Angeles,90021,US,CA,+12135145724,fEY0zHaDMfIW3-N__joDKQ
L'Antica Pizzeria Da Michele,https://s3-media2.fl.yelpcdn.com/bphoto/SCuuHjFSwNpuYxpncVDs9w/o.jpg,1839,Italian,4.5,34.09906083,-118.3373107,"[""pickup""]",$$$,1534 N Mccadden Pl,Los Angeles,90028,US,CA,+13233662408,88kri8FhXy8b3DQ_QjSMmQ
Pasta Sisters,https://s3-media2.fl.yelpcdn.com/bphoto/EPQ4QG9mbRqvon1ZO5u16Q/o.jpg,1952,Italian,4.5,34.0476,-118.317234,"[""pickup""]",$$,3343 W Pico Blvd,Los Angeles,90019,US,CA,+13238705271,AIhWsp8yNfKZfaX9d9Yajg
DeSano Pizza Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/uPUePX2lRk6fkAObl37X9w/o.jpg,1668,Italian,4.5,34.09100997,-118.2977629,"[""pickup""]",$$,4959 Santa Monica Blvd,Los Angeles,90029,US,CA,+13239137000,fD4ntpbf92ufSHn5tSmSxA
Bacari W 3rd,https://s3-media1.fl.yelpcdn.com/bphoto/M_LLLThdYRdoW_mRAk5uNw/o.jpg,1017,Italian,4.5,34.07172,-118.36485,"[""pickup""]",$$,8030 3/4 W 3rd St,Los Angeles,90048,US,CA,+12139332327,y2eWXL2qbTW8tXyrEsfEqQ
Osteria La Buca,https://s3-media3.fl.yelpcdn.com/bphoto/xeVaSq6kS6WuT3OFj7yPJg/o.jpg,2219,Italian,4,34.08333668,-118.3139372,"[""pickup""]",$$$,5210 Melrose Ave,Los Angeles,90038,US,CA,+13234621900,GKQApReu8U9hip4A2ApJ_A
Concerto,https://s3-media1.fl.yelpcdn.com/bphoto/W0PtAkmnwrk0wf7bcwOoDA/o.jpg,1394,Italian,4,34.063071,-118.306414,"[""delivery""]",$$,610 S Serrano Ave,Los Angeles,90005,US,CA,+12137380909,IMoMSsC3oDqcNZCQXyo8iQ
Maccheroni Republic,https://s3-media4.fl.yelpcdn.com/bphoto/I-4SnHvaWothASzVaMhVYw/o.jpg,3806,Italian,4.5,34.05002828,-118.248528,"[""delivery""]",$$,332 S Broadway,Los Angeles,90013,US,CA,+12133469725,gd6PYDx-leOM97a3MWoO1g
Osteria Mozza,https://s3-media4.fl.yelpcdn.com/bphoto/TePk-GCTvpCaztilF5eIPg/o.jpg,3207,Italian,4,34.08319,-118.33881,"[""delivery""]",$$$$,6602 Melrose Ave,Los Angeles,90038,US,CA,+13232970100,YoQn8MtOimQbqi839TmeZw
Met Him At A Bar,https://s3-media3.fl.yelpcdn.com/bphoto/hKkhb5t7RN8oRUIkVbrooA/o.jpg,606,Italian,4.5,34.060415,-118.345018,"[""pickup""]",$$,801 S La Brea,Los Angeles,90036,US,CA,+13238523321,HuQtriV_ApipXfM8xax33w
Angelini Osteria,https://s3-media2.fl.yelpcdn.com/bphoto/1Mh9UEn1H74pTCsfD5h7bg/o.jpg,2112,Italian,4,34.07642,-118.34909,"[""delivery""]",$$$,7313 Beverly Blvd,Los Angeles,90036,US,CA,+13232970070,P9Dt_kkU5BTe1v0tJ4KFNw
Osteria Mamma,https://s3-media2.fl.yelpcdn.com/bphoto/BCT1NUTlwCan0KTW1JmRIw/o.jpg,1899,Italian,4,34.08335868,-118.3247249,"[""delivery""]",$$,5732 Melrose Ave,Los Angeles,90038,US,CA,+13232847060,rr-hXB0ZqXLzUP97yftp0g
DRAGO Centro,https://s3-media3.fl.yelpcdn.com/bphoto/ixTzcjnVmLDcsRd58gqx_g/o.jpg,1651,Italian,4,34.0514,-118.257504,"[""delivery""]",$$$,525 S Flower St,Los Angeles,90071,US,CA,+12132288998,p78nnAZrr2JxVNqggm0JSQ
The Factory Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/ltWypC3lOuC0bzm_R0hm4A/o.jpg,1524,Italian,4,34.038867,-118.23602,"[""pickup""]",$$$,1300 Factory Pl,Los Angeles,90013,US,CA,+12139966000,cK9wMWnQEW9MdYjc-YWueg
Rossoblu,https://s3-media4.fl.yelpcdn.com/bphoto/p6WDqs5IKF_VoMTp4Sp9gQ/o.jpg,811,Italian,4,34.034918,-118.253338,"[""delivery""]",$$$,1124 San Julian St,Los Angeles,90015,US,CA,+12137491099,YYKK5pDAWQimcHzOz-7nug
Bacari W. Adams,https://s3-media3.fl.yelpcdn.com/bphoto/UeTHi6rTg2tIP8h-NeZiKA/o.jpg,1744,Italian,4,34.03447,-118.28341,"[""pickup""]",$$,2308 S Union Ave,Los Angeles,90007,US,CA,+12134591899,8polKN4I6fJx1t8pPxogVw
Mother Wolf,https://s3-media2.fl.yelpcdn.com/bphoto/1k4_YK7OrFgHcaMVuaAL3g/o.jpg,530,Italian,4,34.09932,-118.33115,,$$$$,1545 Wilcox Ave,Los Angeles,90028,US,CA,+13234106060,V_t4QBPg-eC9-rpD1TRYQg
Jon & Vinny's Fairfax,https://s3-media3.fl.yelpcdn.com/bphoto/OQwbl36bvmwL4ph2glu1dw/o.jpg,2362,Italian,4,34.0786401,-118.3613451,"[""delivery""]",$$,412 N Fairfax Ave,Los Angeles,90036,US,CA,+13233343369,sPw1o5OYWE5C2JtbTXp5wg
Cento,https://s3-media4.fl.yelpcdn.com/bphoto/oB3A5Y1vr6ZajHEcYXj5vw/o.jpg,565,Italian,4.5,34.0327954,-118.3477496,"[""delivery""]",$$,4921 W Adams Blvd,Los Angeles,90016,US,CA,+13239980404,mogBbg16id_H0pw_YQ3YbA
La Pergoletta,https://s3-media3.fl.yelpcdn.com/bphoto/G1XjeBOpUByZsPHFFiNFgQ/o.jpg,1276,Italian,4.5,34.1037812,-118.2872479,"[""pickup""]",$$,1802 Hillhurst Ave,Los Angeles,90027,US,CA,+13236648259,-KqNRM-drDM7Nu9i9xEnfA
Supremo,https://s3-media2.fl.yelpcdn.com/bphoto/AC6E0vKB18sDw11ZTHAjpg/o.jpg,337,Italian,4.5,34.05867,-118.34578,"[""pickup""]",$$,901 S La Brea Ave,Los Angeles,90036,US,CA,+13238523192,RarITW4zBvhqKAK8FVOFCQ
Della Terra Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/Np31-r1QgAHxf-dj-LyjbA/o.jpg,852,Italian,4,34.0762749,-118.3571066,"[""pickup""]",$$,7675 Beverly Blvd,Los Angeles,90036,US,CA,+13239337675,YTTCdnu8457jbdEbm_PIig
Marino Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/xXyX0W7ug1_ERWPd5oJSCA/o.jpg,468,Italian,4.5,34.083621,-118.331184,"[""pickup""]",$$$,6001 Melrose Ave,Los Angeles,90038,US,CA,+13234668812,QEGYtRXGlpuco8jE7u0tGw
Pizzeria Sei,https://s3-media2.fl.yelpcdn.com/bphoto/I9CYAMeeAIEaSCN4OmUPTA/o.jpg,377,Italian,4.5,34.0548249,-118.3832633,"[""pickup""]",$$,8781 W Pico Blvd,Los Angeles,90035,US,CA,+14242799800,RmibDYcG1lVw4K69fqTopg
Rao's Hollywood,https://s3-media2.fl.yelpcdn.com/bphoto/7k0-Vq8ZMuntrB_1fECgkw/o.jpg,657,Italian,4.5,34.0891889,-118.3329546,"[""pickup""]",$$$,1006 Seward St,Los Angeles,90038,US,CA,+13239627267,7e9oi3zq_6pP_LU9YPEXLg
Sparrow Italia,https://s3-media4.fl.yelpcdn.com/bphoto/vSMW5oQzcczEeBHlS93IgQ/o.jpg,462,Italian,4,34.04561,-118.26422,,$$$,939 S Figueroa St.,Los Angeles,90015,US,CA,+12136603032,l9CyWFbCaU6Wk6b8Tc4i8Q
Spartina,https://s3-media2.fl.yelpcdn.com/bphoto/rLjWt8-ZcsMBwlpKUHTH_w/o.jpg,668,Italian,4,34.08387493,-118.3535239,"[""pickup""]",$$$,7505 Melrose Ave,Los Angeles,90046,US,CA,+13237821023,zLEV5J2HmKHocbPZONGJAA
Chi Spacca,https://s3-media3.fl.yelpcdn.com/bphoto/MfcffFKVOg4ndNHDrqnpaQ/o.jpg,658,Italian,4,34.08319,-118.33908,"[""pickup""]",$$$$,6610 Melrose Ave,Los Angeles,90038,US,CA,+13232971133,7sZnRtSBZcrScdtE-gWyPw
Culina Ristorante + Caffè,https://s3-media2.fl.yelpcdn.com/bphoto/mCGXldqqDd8DiNPiQEZ-Dw/o.jpg,581,Italian,4,34.072957,-118.389138,"[""delivery""]",$$$,300 S Doheny Dr,Los Angeles,90048,US,CA,+13108604000,t7v3kC8hNFHiNoxOQq-W4g
Colori Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/f46Be7JnzI2Lx8J3JIBHEg/o.jpg,1837,Italian,4,34.043871,-118.301036,"[""pickup""]",$$,2019 Venice Blvd,Los Angeles,90006,US,CA,+12136225950,Kz8ZETLCLPNzzs9Tb4u1SQ
Uovo - Mid-Wilshire,https://s3-media2.fl.yelpcdn.com/bphoto/cYSNglJbn0F8rQCvyhyHrQ/o.jpg,352,Italian,4.5,34.06372,-118.36446,,$$,6245 Wilshire Blvd,Los Angeles,90048,US,CA,+13236426386,OjUQ0wmRdctqjfz-lErGBQ
Andre's Italian Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/d40d_0b3HkZm3G1Ill7UMw/o.jpg,1355,Italian,4,34.0396817,-118.2993893,"[""pickup""]",$$,1864 W Washington Blvd,Los Angeles,90007,US,CA,+13239351246,-CW_jNF0-x1RAhlGjX3JUg
OSTE,https://s3-media2.fl.yelpcdn.com/bphoto/Wf9TrpRHdJI5tqIodCIO-g/o.jpg,602,Italian,4.5,34.07211,-118.367363,"[""pickup""]",,8142 W Third St,West Hollywood,90048,US,CA,+13234132372,3FlrvSaW-TSwkQDsCpKYEg
Spaccio Salumeria by Truffle Brothers,https://s3-media3.fl.yelpcdn.com/bphoto/dy9DaGhJ7MrrIbWYscvWgA/o.jpg,126,Italian,5,34.04024,-118.32797,"[""pickup""]",$$,4073 W Washington Blvd,Los Angeles,90018,US,CA,+13237950152,jpMKMKAo5SwqSV1N1wh9Ww
Michelangelo Ristorante,https://s3-media2.fl.yelpcdn.com/bphoto/f5TgJ1oJok6AlE1XjcMapA/o.jpg,933,Italian,4,34.10698292,-118.2636239,"[""pickup""]",$$,2742 Rowena Ave,Los Angeles,90039,US,CA,+13236604843,WylKsZv1qKCDqrHd-joiOA
San Antonio Winery,https://s3-media2.fl.yelpcdn.com/bphoto/ZTtlpKfQJGiTPxj0DrUSdA/o.jpg,1638,Italian,4,34.0636861,-118.2238476,"[""pickup""]",$$,737 Lamar St,Los Angeles,90031,US,CA,+13232231401,HlKxlisBOQ80uO6vcetlBA
Locanda Veneta,https://s3-media3.fl.yelpcdn.com/bphoto/Lwx55Sv7mpDg_1sdSSg2Vw/o.jpg,554,Italian,4.5,34.07339,-118.3809,"[""pickup""]",$$$,8638 W 3rd St,Los Angeles,90048,US,CA,+13102741893,9CVqDuk5475QzAEunj_7lA
Grandmaster Recorders,https://s3-media3.fl.yelpcdn.com/bphoto/e7oJSdBw_tq1pnWefiykSg/o.jpg,244,Italian,4,34.09861755,-118.3291245,,,1518 N Cahuenga Blvd,Los Angeles,90028,US,CA,+13239637800,JqAjeYMIRTkMpsvsZpqscw
Pace,https://s3-media2.fl.yelpcdn.com/bphoto/MrLOZxFYbR1NZ7IrJhfLow/o.jpg,1205,Italian,4,34.10906,-118.3697,"[""pickup""]",$$$,2100 Laurel Canyon Blvd,Los Angeles,90046,US,CA,+13236548583,LlaXbuPQBsRXjZFEx5Wkjw
Palermo Italian Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/m1xgemC36RST9oQPS7hrvA/o.jpg,1738,Italian,4,34.10481,-118.291447,"[""pickup""]",$$,1858 N Vermont Ave,Los Angeles,90027,US,CA,+13236631430,gAb-NtuNbNG8p2dqUMQGjw
Uovo - Studio City,https://s3-media4.fl.yelpcdn.com/bphoto/Lhf_puUmWuOCSnVoIYlHLg/o.jpg,391,Italian,4.5,34.14538016,-118.4127482,,,12833 Ventura Blvd,Los Angeles,91604,US,CA,+17472122690,egFoQz8MfqxtabJN1rdIYQ
Bottega Louie - WEHO,https://s3-media2.fl.yelpcdn.com/bphoto/slb6cR2__1dc5ZR3QtjsWw/o.jpg,648,Italian,4,34.083913,-118.384953,,$$$,8936 Santa Monica Blvd,Los Angeles,90069,US,CA,+12138021470,g7bvMWpWSNxSoq8WxfEcZQ
Frankie's,https://s3-media3.fl.yelpcdn.com/bphoto/R1HNCojVQXO7_XazN7vzYQ/o.jpg,498,Italian,4,34.08323,-118.34724,"[""pickup""]",$$,7228 Melrose Ave,Los Angeles,90046,US,CA,+13239372801,bSfdLm1ke0oFCUK7hiAQ_g
Antico Nuovo,https://s3-media2.fl.yelpcdn.com/bphoto/X6nfdJMUWblund0cbBwr0A/o.jpg,192,Italian,4,34.07657,-118.31101,"[""delivery""]",$$$,4653 Beverly Blvd,Los Angeles,90004,US,CA,+13235103093,UTBAwLDlZVFNHz44e0DLRg
Brera Ristorante,https://s3-media1.fl.yelpcdn.com/bphoto/n265lYyayXzqXbhPx1S_1g/o.jpg,792,Italian,4,34.03847976,-118.2347514,"[""delivery""]",$$$,1331 E 6th St,Los Angeles,90021,US,CA,+12135538006,aUSK0oQR4ey0rFoDfCXaPw
One More Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/ITcbnM8KLzLzSq9GSA1RdA/o.jpg,136,Italian,4,34.068823,-118.298876,"[""pickup""]",$$,300 S Mariposa Ave,Los Angeles,90020,US,CA,+12133831313,yCMfb65Srl8NucvVEhubYA
Wood,https://s3-media4.fl.yelpcdn.com/bphoto/3m2BSYYss3odo0nwu8RGJw/o.jpg,1046,Italian,4,34.08292,-118.27289,"[""pickup""]",$$$,2861 Sunset Blvd,Los Angeles,90026,US,CA,+13236679940,F2W1R7yIvSOqD1xH_F1cZA
Tuscan Son,https://s3-media3.fl.yelpcdn.com/bphoto/deH1sv-i4N5z8iXwtu-QtQ/o.jpg,460,Italian,4.5,34.051453,-118.432191,"[""pickup""]",$$,10700 Santa Monica Blvd,Los Angeles,90025,US,CA,+14245353096,mmFT0RqB9PDv8z9TVv9qWA
Proper Pizza and Pasta,https://s3-media2.fl.yelpcdn.com/bphoto/M5PXKByNrYyCSM_FppTFkw/o.jpg,256,Italian,4.5,34.051521,-118.280395,"[""pickup""]",$$,1011 S Alvarado St,Los Angeles,90006,US,CA,+12135683395,F6hXBYy7dx9qN_di10qB0w
Pine & Crane,https://s3-media3.fl.yelpcdn.com/bphoto/T4Je0aW421FLWVaRrfRGtA/o.jpg,2892,Chinese,4.5,34.09053959,-118.2771289,"[""delivery""]",$$,1521 Griffith Park Blvd,Los Angeles,90026,US,CA,+13236681128,ohosmz6FXVAeoW5nUkYwng
Bao Dim Sum House,https://s3-media4.fl.yelpcdn.com/bphoto/Su6hAn4L13LnK_1aZ-dDqQ/o.jpg,3478,Chinese,4,34.07577,-118.36982,"[""pickup""]",$$,8256 Beverly Blvd,Los Angeles,90048,US,CA,+13236556556,kdTFcDSl9vAR-btEm1Q2uw
Paik's Noodle: Hong Kong Ban Jum 0410,https://s3-media1.fl.yelpcdn.com/bphoto/SblfBrbr4OjqMP8o30XAYg/o.jpg,790,Chinese,4.5,34.06279582,-118.2977393,,$$,3470 W 6th St,Los Angeles,90020,US,CA,+12133890410,WWQsHGIFUkNQF6Uaj4vXCw
ixlb DimSum Eats,https://s3-media2.fl.yelpcdn.com/bphoto/lw0EibPclFEMYNzAi4dG3w/o.jpg,919,Chinese,4.5,34.09779,-118.3183,"[""pickup""]",$$,5900 Sunset Blvd,Los Angeles,90028,US,CA,+13238484766,6b1Kud4nDwsqw1kILxI9ZQ
Yang Chow,https://s3-media2.fl.yelpcdn.com/bphoto/KngCcYjnwBADRLaOFW4-5g/o.jpg,3162,Chinese,4,34.06301,-118.2384,"[""delivery""]",$$,819 N Broadway,Los Angeles,90012,US,CA,+12136250811,ZlQo_ArRw-nnHcrcnYPbiA
Zzamong,https://s3-media2.fl.yelpcdn.com/bphoto/6AUVIwPCv8wCZ9FYeCfocw/o.jpg,1361,Chinese,4,34.069295,-118.307192,"[""pickup""]",$$,4255 W 3rd St,Los Angeles,90004,US,CA,+12137392747,gWM5n5Tyo5h74t-_lp1WUA
COD Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/csrT70s2M_0Bnwxrr831tg/o.jpg,932,Chinese,4,34.0728,-118.37363,"[""pickup""]",$$$,8408 W 3rd St,Los Angeles,90048,US,CA,+13236589188,8TUWLXWgswfRfMBymL0WRg
Fei Xiang Gong,https://s3-media4.fl.yelpcdn.com/bphoto/xETE8FEDB3DRQVpwKuLbGw/o.jpg,105,Chinese,4.5,34.06737,-118.30892,"[""pickup""]",$$,356 S Western Ave,Los Angeles,90020,US,CA,+12133185588,0stUvaDK5l0bW7tGb7_hgQ
Little Fatty,https://s3-media3.fl.yelpcdn.com/bphoto/IxGlewFgXkbFcixQs-5Smw/o.jpg,1063,Chinese,4,34.00441,-118.43106,"[""pickup""]",$$,3809 - 3813 Grandview Blvd,Los Angeles,90066,US,CA,+13105747610,0jOt0ODWCp8fJzzOM4PgqA
Feng Mao Lamb Kebab - Olympic,https://s3-media4.fl.yelpcdn.com/bphoto/IztJ6SgvOsH0grlnaHGClQ/o.jpg,630,Chinese,4.5,34.053617,-118.319659,"[""pickup""]",$$,3901 W Olympic Blvd,Los Angeles,90019,US,CA,+13239351099,p1O9sw9QdnKn1cV2FEmmhw
Woon,https://s3-media2.fl.yelpcdn.com/bphoto/wmUOOHUilwOmN_TczNnwjg/o.jpg,333,Chinese,4.5,34.0741838,-118.2793993,"[""delivery""]",$$,2920 W Temple St,Los Angeles,90026,US,CA,,sgqhqcRGuioPSNCVKA-PZg
Tang Huo Kung Fu Spicy Hot Pot,https://s3-media3.fl.yelpcdn.com/bphoto/Dl5EtqmMk4uyUOzUnJ5yvg/o.jpg,154,Chinese,4.5,34.06322097,-118.297207,"[""pickup""]",$$,3450 W 6th St,Los Angeles,90020,US,CA,+12136747422,mu-sqebqz9DEQRTNP3vKLg
Hui Tou Xiang,https://s3-media2.fl.yelpcdn.com/bphoto/2RJnVsOIxH0_wzlN84oiTw/o.jpg,234,Chinese,4.5,34.101,-118.32968,"[""pickup""]",$$,1643 N Cahuenga Blvd,Los Angeles,90028,US,CA,+13236457272,eMCp5br4J_4at3jIX2ljrg
The Ppong,https://s3-media3.fl.yelpcdn.com/bphoto/Li5i5N_Y7VwLTsJvLA2pKw/o.jpg,237,Chinese,4.5,34.062044,-118.3146891,"[""pickup""]",$$,4003 Wilshire Blvd,Los Angeles,90010,US,CA,+12135683953,AWQELVqEeeCbstdp8PUVYg
Odumak,https://s3-media1.fl.yelpcdn.com/bphoto/hKaezVO6_0F50RXmfH7WBQ/o.jpg,123,Chinese,4,34.067837,-118.308804,"[""pickup""]",$$,338 S Western Ave,Los Angeles,90020,US,CA,+12136286996,kDVlUSFSUR8ZYIOJi4bDQQ
Hoys Wok Chinese Food,https://s3-media1.fl.yelpcdn.com/bphoto/7anZW3ZgXaMY3gYsXIv71Q/o.jpg,128,Chinese,5,34.07327885,-118.3769215,"[""pickup""]",$$,8520 W 3rd St,Los Angeles,90048,US,CA,+13107347373,OdwPQ98elBOVUPjWwZYVMQ
Sea Dragon Chinese Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/rRVmuKlmCPHjHI2czWrvyA/o.jpg,489,Chinese,4,34.07255309,-118.2921566,"[""delivery""]",$$,101 S Vermont Ave,Los Angeles,90004,US,CA,+12133829993,KgPICfpkOeM_o4MdqUGDwA
Daybird,https://s3-media3.fl.yelpcdn.com/bphoto/AZgmkoJbQebdTfYJtkb3aA/o.jpg,292,Chinese,4.5,34.07596282,-118.286511,,$$,240 N Virgil Ave,Los Angeles,90004,US,CA,,vqIms0ABjR5rvbp_d9eDqQ
MIAN | 滋味小面,https://s3-media2.fl.yelpcdn.com/bphoto/IDZ9VESPQLXOStFz_YZrqw/o.jpg,358,Chinese,4,34.03266,-118.35751,,$$,5263 W Adams Blvd,Los Angeles,90016,US,CA,+13233326176,JxSNu4tMyiRe6WK7YW9GAg
Feng Mao Lamb Kebab - Western,https://s3-media1.fl.yelpcdn.com/bphoto/AJRCsKOJFrmOwQcOd23b6Q/o.jpg,526,Chinese,4,34.06662622,-118.3089679,"[""pickup""]",$$,414 S Western Ave,Los Angeles,90020,US,CA,+12133889299,q8hexOMqB9s3-ryNoum_KA
Fortune House Chinese Cuisine,https://s3-media4.fl.yelpcdn.com/bphoto/E2nU_Ufw3dneCCW59tRkFQ/o.jpg,423,Chinese,4,34.058352,-118.362566,"[""restaurant_reservation""]",$$,6031 San Vicente Blvd,Los Angeles,90036,US,CA,+13239366133,e8zRlJtK-pmau8hDgOwllQ
Iron Teapot Dim Sum & Bar,https://s3-media3.fl.yelpcdn.com/bphoto/f88G-jxSH49pPHHmcpfqPw/o.jpg,662,Chinese,4,34.02070314,-118.4029162,"[""restaurant_reservation""]",$$$,10306 Venice Blvd,Los Angeles,90034,US,CA,+13107361803,ubOBDUCB_WJNZaY_iutZ-Q
Needle,https://s3-media1.fl.yelpcdn.com/bphoto/5CkTsmZRr86Dz5a5verH3A/o.jpg,101,Chinese,4.5,34.09191266,-118.2793567,,$$,3827 W Sunset Blvd,Los Angeles,90026,US,CA,,-bKSg3-kXFSFUA7baQndMw
Pho 87,https://s3-media2.fl.yelpcdn.com/bphoto/Q2eXPhJo-RRtdFr-AD59vQ/o.jpg,1677,Chinese,4,34.0672573,-118.2356333,,$$,1019 N Broadway,Los Angeles,90012,US,CA,+13232270758,EiGZST3PxwKs94PTOsD4eQ
Combo A,https://s3-media1.fl.yelpcdn.com/bphoto/CslYYxGJWpE8CHidXaH6rQ/o.jpg,458,Chinese,4.5,34.07817,-118.25676,"[""pickup""]",$$,1411 Echo Park Ave,Los Angeles,90026,US,CA,+12139287495,njyf0pk4spqk5jRLUVlN-A
Eagle Rock Green Dragon,https://s3-media3.fl.yelpcdn.com/bphoto/Obt54K1ksQvdogKmqQRFGg/o.jpg,710,Chinese,4.5,34.13971273,-118.2050593,"[""delivery""]",$$,1733 Colorado Blvd,Los Angeles,90041,US,CA,+13232558889,rHSPK-cm0f9iW1EgUUDhww
Moon House Chinese Cuisine,https://s3-media4.fl.yelpcdn.com/bphoto/NpU_mlKcNaG46JiPj7HvTg/o.jpg,1238,Chinese,4,34.04759054,-118.4432216,"[""pickup""]",$$,11058 Santa Monica Blvd,Los Angeles,90025,US,CA,+13109669988,G2q4Lqe7tEDjMGzazUXdVQ
Heung Rae Gak,https://s3-media3.fl.yelpcdn.com/bphoto/a-KrR1aVmbrstFCymswgTw/o.jpg,218,Chinese,4,34.067312,-118.3092449,"[""pickup""]",$$,357 S Western Ave,Los Angeles,90020,US,CA,+12133830178,r1dZeBu2gIvA2sAL1LpesQ
Din Tai Fung,https://s3-media4.fl.yelpcdn.com/bphoto/skX_0x37Xyyu-vIxFAaUSg/o.jpg,4776,Chinese,4,34.1434651,-118.2560737,"[""pickup""]",$$,177 Caruso Ave,Glendale,91210,US,CA,+18185515561,P_2Z_Wwk2Xtepobtxxsa6A
Qi Steam Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/5aA4DAiIJZYYv2mkAlZsjQ/o.jpg,181,Chinese,4,34.05761,-118.36165,"[""pickup""]",$$,5966 W Olympic Blvd,Los Angeles,90036,US,CA,+13238799313,TmuztHuzFydP4L6BxBkNXA
Uncle John’s Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/cJ_hAQR5uAN9d2e-gikkyA/o.jpg,897,Chinese,4,34.04486,-118.25858,"[""pickup""]",$$,834 S Grand Ave,Los Angeles,90017,US,CA,+12136233555,6iJ_E5tMJII601mrzwwdrQ
RiceBox,https://s3-media3.fl.yelpcdn.com/bphoto/LvKFVI6uDN_XGJmm69oVqA/o.jpg,328,Chinese,4.5,34.04676,-118.25099,"[""pickup""]",$$,541 S Spring St,Los Angeles,90013,US,CA,+12139887395,hPevQl0mBhTFUXZ0baMq0Q
Wok Bar,https://s3-media3.fl.yelpcdn.com/bphoto/bvqtCQndbK0_J2jVD75Ahg/o.jpg,76,Chinese,4,34.05992,-118.2908,"[""pickup""]",$$,3055 W 7th St,Los Angeles,90005,US,CA,+12136747122,J_lx7R83sKaXGwAE0_YKoA
